"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_part[1]","PART_MALE",1.06904021159164,1.01522052998221,1.12733002628043,0.0667612474174215,0.000371133678728259,0.0267949361116411,1.00011882479386,"All contacts"
"2","sigma0_loc","sigma0_loc",1.19388550839979,1.13523228318605,1.26977915963824,0.177213121260355,0.000493772138282241,0.0290979003809462,0.999640700299988,"All contacts"
"3","sigma0_hh","sigma0_hh",1.37713654959338,1.31128168819879,1.43992530338421,0.320006379385868,0.00135355957255557,0.0234608657708572,1.02398701172777,"All contacts"
"4","sigma0_rd","sigma0_rd",1.23704742853921,1.06468840530454,2.13868609601053,0.212727434259168,0.008651787997382,0.22155543533228,1.00744693394053,"All contacts"
"5","sigma0_part","sigma0_part",1.64694660740747,1.59281967347788,1.70212355678048,0.498923032581056,0.000741832632075482,0.0169739423518426,1.00581551742049,"All contacts"
"6","sigma0_obs","sigma0_obs",1.95722639685595,1.92545743694568,1.99049148703062,0.671528367392747,0.000176826637101707,0.00843012979685717,0.99988484152965,"All contacts"
"7","B_part[1]","PART_MALE",1.14697505130048,1.05636981935699,1.2498237389577,0.137128086646926,0.000623337725311004,0.0429400485783195,0.999361411154099,"Extra-household contacts"
"8","sigma0_loc","sigma0_loc",1.27568737944829,1.18590481947542,1.39124432822757,0.243485154472716,0.00079174803765601,0.0410040411646623,1.00058702369402,"Extra-household contacts"
"9","sigma0_hh","sigma0_hh",1.50222374673659,1.39212958955103,1.62230387606308,0.406946508117527,0.00339847980535645,0.0395633194326822,1.00959282204843,"Extra-household contacts"
"10","sigma0_rd","sigma0_rd",1.51366784651594,1.13791486012821,4.11736455158704,0.414535742911793,0.0166801573863617,0.40283423594174,1.00432155230068,"Extra-household contacts"
"11","sigma0_part","sigma0_part",2.27735996190919,2.17097494213488,2.39654159958143,0.823016860625612,0.000968907727082255,0.0253004038374489,1.00031543913125,"Extra-household contacts"
"12","sigma0_obs","sigma0_obs",2.85629968362619,2.77446815192139,2.93951829936133,1.0495269702141,0.000355774117156684,0.0147745587385958,0.999608305207956,"Extra-household contacts"
