"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_tri[1]","CONTACT_Touch",2.31492129319082,2.22937528225449,2.40740191116344,0.839375688338557,0.000240659941143714,0.0197623482289385,0.999791587896674,"All contacts"
"sigma0_loc","sigma0_loc",1.75377583401897,1.50902313053394,2.10985296595637,0.561771083056743,0.00193206246266873,0.0863228746915372,1.0015971243957,"All contacts"
"sigma0_hh","sigma0_hh",1.74170473471762,1.40578626420237,2.07835020705005,0.554864366198035,0.014558492629823,0.0944520199677797,1.09170349572672,"All contacts"
"sigma0_part","sigma0_part",7.54013299411224,6.95670638081258,8.20900248201192,2.02023982034073,0.0024337805946425,0.0420587825326571,1.01188785725015,"All contacts"
"sigma0_rd","sigma0_rd",1.41317164022532,1.10538967236926,3.42984277634608,0.345836568529994,0.0507542001393073,0.477792506766407,1.05356921135581,"All contacts"
"B_tri[1]","CONTACT_Touch",2.27378173841365,2.01574703910039,2.57100201881583,0.821444409373399,0.00101583569930903,0.0629020074355952,0.99958910890432,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.60533308613086,1.28589656264657,2.04429000183059,0.473331265350144,0.00515864912840656,0.117257998697582,1.00261046617406,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.80384887496033,1.30614554147346,2.43381360883913,0.589922645936407,0.0446810076407059,0.165877287067385,1.28119028159257,"Extra-household contacts"
"sigma0_part","sigma0_part",12.9037040079668,10.9095245768443,15.1904164911772,2.55751440255354,0.00794758516167169,0.0844714689560464,1.0354407306865,"Extra-household contacts"
"sigma0_rd","sigma0_rd",4.6204853048477,1.47226696262914,731.435517092057,1.53049974391621,0.374960512501218,1.55806798322455,1.17609254034692,"Extra-household contacts"
