"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_obs[1]","HH_Num_Memb_1_3",0.796931053193499,0.753533219891739,0.844135776528216,-0.226987111846746,0.000391418911248516,0.0287018582028536,0.999837053820116,"All contacts"
"2","B_obs[2]","HH_Num_Memb_7_9",1.148783587125,1.06830126277497,1.23276152691581,0.138703632236397,0.000521111323449364,0.0364677706070592,0.999634125389173,"All contacts"
"3","B_obs[3]","HH_Num_Memb_10",1.39273785798183,1.18528110659583,1.63940930973554,0.331271491863792,0.00117016294079357,0.0839180721682133,0.99950337456561,"All contacts"
"4","sigma0_loc","sigma0_loc",1.17555772138243,1.1214234108341,1.24632272228703,0.161742691478046,0.000460187676503917,0.0269924069161768,0.999829473295694,"All contacts"
"5","sigma0_hh","sigma0_hh",1.31350618796464,1.25171328437832,1.37315542543489,0.272700041182715,0.00163042159924737,0.0234241516205101,1.029067305489,"All contacts"
"6","sigma0_rd","sigma0_rd",1.23835224239648,1.06875131322955,2.08987737284054,0.213781659153383,0.00803669954252828,0.192467125845469,1.00428450056123,"All contacts"
"7","sigma0_part","sigma0_part",1.65518656093189,1.60222006531602,1.71034447037991,0.503913728114574,0.000725340990858564,0.0166403337065813,1.00834810399186,"All contacts"
"8","sigma0_obs","sigma0_obs",1.95975031006392,1.9289748837145,1.99282622031038,0.672817072302743,0.000172375158647744,0.00838785383361671,1.00228069704032,"All contacts"
"9","B_obs[1]","HH_Num_Memb_1_3",0.94407180768202,0.86464027120362,1.02894192772051,-0.0575530482698517,0.000625443024294479,0.0447262741578865,0.999835457260961,"Extra-household contacts"
"10","B_obs[2]","HH_Num_Memb_7_9",0.977527438079706,0.874266352569237,1.09420924829641,-0.0227289178698033,0.000771782248617586,0.0560633127837052,0.999624322746951,"Extra-household contacts"
"11","B_obs[3]","HH_Num_Memb_10",1.02111497911842,0.77721723792375,1.32914355179305,0.0208951470618319,0.0017696977668067,0.138026598211949,0.999259054578165,"Extra-household contacts"
"12","sigma0_loc","sigma0_loc",1.27225796291631,1.18154900935562,1.3986692803411,0.240793245391415,0.000755640277112043,0.0428808712116505,0.999836233225862,"Extra-household contacts"
"13","sigma0_hh","sigma0_hh",1.49871916183327,1.39384699536721,1.60891731473804,0.404610851223474,0.00261670887613614,0.0363666340809363,1.035406500621,"Extra-household contacts"
"14","sigma0_rd","sigma0_rd",1.56189090670834,1.13287305119021,5.3580323980684,0.445897206922302,0.032049821234757,0.53466326922924,1.0174591654961,"Extra-household contacts"
"15","sigma0_part","sigma0_part",2.28171200954684,2.16550100001298,2.40296126065484,0.824926042576162,0.00120073669592046,0.0263443784424982,1.00706221958575,"Extra-household contacts"
"16","sigma0_obs","sigma0_obs",2.86376518253407,2.7865432344712,2.9484506641771,1.05213725639843,0.000314639206920358,0.0145542005100089,0.999510199939392,"Extra-household contacts"
