"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_tri[1]","HH_Num_Memb_1_3",0.590079072987251,0.540285294051136,0.641431992525278,-0.52749872905023,0.000705011938972089,0.0439425493332869,1.00001125762985,"All contacts"
"B_tri[2]","HH_Num_Memb_7_9",1.12492004629882,1.03789885843471,1.21387619179918,0.117711963174193,0.000567802870472569,0.0391586990696115,1.00084345652804,"All contacts"
"B_tri[3]","HH_Num_Memb_10",0.851337465394825,0.721142905873082,1.00042667893817,-0.160946677434273,0.0012054057489012,0.0835682308031837,0.99983840466443,"All contacts"
"sigma0_loc","sigma0_loc",1.74694040848701,1.50975218391334,2.09923198881091,0.557865919801391,0.00194240765298213,0.0847255283852848,1.00424355161871,"All contacts"
"sigma0_hh","sigma0_hh",1.66256305981431,1.35080154418666,2.03039449341002,0.508360423543895,0.0262510404337347,0.103388311088888,1.29753493086957,"All contacts"
"sigma0_part","sigma0_part",7.43713498838656,6.85498338281727,8.09959948314427,2.0064856924757,0.00535447938490219,0.0422872636713335,1.06000727870751,"All contacts"
"sigma0_rd","sigma0_rd",1.46768837119664,1.10573538497729,7.50726018625559,0.383688626456282,0.074729428849482,0.598790095815557,1.0710160956062,"All contacts"
"B_tri[1]","HH_Num_Memb_1_3",1.10832935162775,0.897849660444747,1.37122312908062,0.102853792916941,0.00304432500004343,0.107398580736228,0.999607012484688,"Extra-household contacts"
"B_tri[2]","HH_Num_Memb_7_9",1.11500216075147,0.828560401819199,1.50720583489047,0.108856342803897,0.00398136988099643,0.151889717840664,1.00117465865678,"Extra-household contacts"
"B_tri[3]","HH_Num_Memb_10",1.37883715290883,0.679039399418713,2.85227700344953,0.321240501126396,0.00947841893045019,0.368560653074526,1.00547049685457,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.57057297077291,1.26711977485322,1.99249414330839,0.451440502319219,0.00548657802201162,0.114470531836485,1.01203922596956,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.40191736392535,1.04459687185326,2.15064429471418,0.337840845309904,0.090471182006528,0.188047652567448,1.73407248979242,"Extra-household contacts"
"sigma0_part","sigma0_part",13.9304791751242,11.8053426002391,16.448669941295,2.63407918598862,0.00798636787493265,0.0856103831300678,1.03712148628953,"Extra-household contacts"
"sigma0_rd","sigma0_rd",3.07673838836329,1.45339116642437,33.8465458755019,1.12387007106897,0.0414993318542456,0.943275937307242,1.00151828999256,"Extra-household contacts"
