"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_tri[1]","occ_cat_student",1.64779622994639,1.38022948257518,1.95912602477914,0.499438776965182,0.00171888160263727,0.0899363906425563,1.00064910270254,"All contacts"
"B_tri[2]","occ_cat_other",3.48229444820541,3.25106688417429,3.73282546389314,1.24769140072463,0.000435934357314663,0.0347825436822932,1.0001144751337,"All contacts"
"sigma0_loc","sigma0_loc",1.86553292330184,1.59909880672966,2.2502514213504,0.623546762036793,0.00163737291568161,0.0871740316482807,1.00086632371325,"All contacts"
"sigma0_hh","sigma0_hh",1.75511538226498,1.54236691142338,2.01330966530849,0.562534599637062,0.00693911581128858,0.0696906648781352,1.02674085142259,"All contacts"
"sigma0_part","sigma0_part",6.49842642143531,6.04336886376686,6.98809861860961,1.87156005858337,0.00130785085023679,0.0374992851489348,1.00254935550918,"All contacts"
"sigma0_rd","sigma0_rd",1.32726224849605,1.09040954502592,2.50610450221606,0.283118360916026,0.0157296887107131,0.282746556351408,1.00879681711501,"All contacts"
"B_tri[1]","occ_cat_student",9.15151771002254,6.14945746378434,13.5438387027465,2.21391973548035,0.00718124876258275,0.202806617863672,1.01337101122148,"Extra-household contacts"
"B_tri[2]","occ_cat_other",3.77377335985491,3.09849102254196,4.59155516595587,1.32807539211049,0.00271765495452786,0.101220554209591,1.00178771710625,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.71990891857038,1.40688652606293,2.18370556356468,0.542271335103683,0.00470089409742983,0.111566494876088,1.00105233372024,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.57842740576051,1.04244320996217,2.55611639372071,0.456429038576366,0.16231972243069,0.294914459091011,2.27419335955095,"Extra-household contacts"
"sigma0_part","sigma0_part",11.047301423042,9.24927563207885,13.1428246361449,2.40218618302907,0.0215329180103113,0.0907007434551607,1.14571751314877,"Extra-household contacts"
"sigma0_rd","sigma0_rd",3.18213661911084,1.46116336462569,44.2038914665636,1.15755286397532,0.072755680472764,0.956199563868082,1.05234705832529,"Extra-household contacts"
