"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_tri[1]","shared_dur",3.90037690363712,3.76276681798074,4.04441444334983,1.3610731904243,0.000255299492199265,0.0186706333182557,0.999740955485644,"All contacts"
"sigma0_loc","sigma0_loc",1.73521784573073,1.49862633724066,2.09173941118737,0.55113296501587,0.00218596495784479,0.0842210015757879,1.00182871859362,"All contacts"
"sigma0_hh","sigma0_hh",1.69642350355972,1.42769234341428,2.01053564589043,0.528522213485607,0.0106533846449242,0.088228771391183,1.07592098627248,"All contacts"
"sigma0_part","sigma0_part",7.15267379295554,6.61121734518262,7.74622312956768,1.96748624385812,0.00199619795149439,0.0403674197360413,1.01317027292914,"All contacts"
"sigma0_rd","sigma0_rd",1.34476214808333,1.09798761840201,2.70619824317172,0.296217155841753,0.00891547899594306,0.255964443921283,1.00174206492904,"All contacts"
"B_tri[1]","shared_dur",2.1327602570054,1.93798298501836,2.33496996553284,0.757417036081425,0.000676801521816377,0.0473688162143525,0.999781561454598,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.56057952634593,1.21152855716359,1.98334565867667,0.445057243523047,0.00535610844278161,0.120186052234929,1.00575295360009,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.68696079123032,1.23650073124396,2.41536910667593,0.522928561580826,0.0581534183322705,0.182346048013574,1.36914918045176,"Extra-household contacts"
"sigma0_part","sigma0_part",13.0279480915133,11.1612994439515,15.3709541319154,2.56709690302727,0.00635384571484101,0.0819604080383503,1.0323420422807,"Extra-household contacts"
"sigma0_rd","sigma0_rd",3.01170233862694,1.47470448919592,23.2493924275737,1.10250547989706,0.0287227679107703,0.785130563410767,1.00380580466572,"Extra-household contacts"
