"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_hh[1]","log_ninetile_hh",0.567633225610775,0.476796300988369,0.691849606903654,-0.566279798392604,0.00460510611599097,0.095568248130852,1.00515621425733,"All contacts"
"sigma0_loc","sigma0_loc",1.31706159233079,1.12069704800089,1.54425521111542,0.275403188813224,0.00362263368654228,0.0799141097705799,1.00923414849182,"All contacts"
"sigma0_hh","sigma0_hh",1.82949143123957,1.5248032786998,2.13031311156313,0.604038021803719,0.00954360028619741,0.0831997993316052,1.03549598200548,"All contacts"
"sigma0_part","sigma0_part",7.48176146936856,6.91395995597844,8.11135747002063,2.01246825482013,0.0017697517670805,0.0404780013294307,1.00259390125323,"All contacts"
"sigma0_rd","sigma0_rd",1.3447838717061,1.09604821010258,2.86527378711861,0.296233309960412,0.00886490209477694,0.276764031708168,1.00090253302776,"All contacts"
"B_hh[1]","log_ninetile_hh",0.690847351736774,0.532024633634846,0.920374439413325,-0.369836388827222,0.00770048434241138,0.139235886827742,1.02512347432007,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.37565121121093,1.09523453790867,1.80504848563595,0.318927227154997,0.00691583884296602,0.130471526516372,1.01804552945297,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.77941139803367,1.25605527877971,2.58215177383826,0.576282634356888,0.0709849863276116,0.199460064506824,1.38375614680468,"Extra-household contacts"
"sigma0_part","sigma0_part",13.5634501945552,11.5025457930402,16.2686592179621,2.60737868927459,0.0152603983091101,0.0872884145483756,1.06825262475053,"Extra-household contacts"
"sigma0_rd","sigma0_rd",3.04767249001754,1.47763351270314,30.4645138805446,1.1143781812695,0.0332445855733513,0.850528374135849,1.00638390181205,"Extra-household contacts"
