"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_tri[1]","both_touch",4.70669086636092,4.41703240967156,5.00931588045432,1.54898508496187,0.000383998699842215,0.0319292030465138,0.999369808438117,"All contacts"
"sigma0_loc","sigma0_loc",1.74704418267026,1.51348962988647,2.08799202964964,0.557925321427571,0.00184436572432649,0.0839837466997983,1.00258878101447,"All contacts"
"sigma0_hh","sigma0_hh",1.74838536771763,1.38292910989834,2.09535823798043,0.558692715016175,0.0206318851764071,0.101526412939516,1.16093520511468,"All contacts"
"sigma0_part","sigma0_part",7.5085094833779,6.92878378882874,8.17529752493855,2.01603697515637,0.00281259602600403,0.0422827793532559,1.02504613068773,"All contacts"
"sigma0_rd","sigma0_rd",1.33975980819586,1.09974682950219,2.48122002124135,0.292490350281015,0.00857073314951108,0.271126479935534,1.00106819090794,"All contacts"
"B_tri[1]","both_touch",2.78850735696268,2.26421148908527,3.44980492302234,1.02550645516663,0.00164425594502661,0.109014148641041,1.00098890700186,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.57407033366572,1.24414384259141,2.00216412127763,0.453664833663794,0.00485643169528857,0.118461701714845,1.00794998782087,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.68077920273558,1.1002444469915,2.53911848656868,0.519257497040153,0.0653545101518672,0.214036264416984,1.4137945312153,"Extra-household contacts"
"sigma0_part","sigma0_part",13.1011309509177,11.0409240169509,15.5260144302376,2.57269855861183,0.00898718421476272,0.0863817149593045,1.04197326178071,"Extra-household contacts"
"sigma0_rd","sigma0_rd",3.22752778107603,1.44678786869517,38.9392914214522,1.17171645131619,0.0431473104005576,0.903025908665801,1.01123911102306,"Extra-household contacts"
