"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_tri[1]","dur_cat_10",0.13870699141903,0.13262619857829,0.144985472532578,-1.97539154616151,0.000308336345494999,0.0228562486213093,0.999464226935891,"All contacts"
"2","B_tri[2]","dur_cat_10_59",0.385775860118304,0.368889665223038,0.403649788136328,-0.952498751441963,0.000294372346117755,0.0230960172748969,0.999727177862814,"All contacts"
"3","sigma0_loc","sigma0_loc",1.72995793576849,1.49125716223745,2.08902301380197,0.548097093629397,0.00194633500033504,0.0844873707712386,1.00308292944202,"All contacts"
"4","sigma0_hh","sigma0_hh",1.63708515096427,1.32144401758121,1.96825393840006,0.492917313507946,0.017221963493425,0.0999828010379078,1.12965120785701,"All contacts"
"5","sigma0_part","sigma0_part",7.14870807556682,6.62417323618594,7.74045885720652,1.96693165164783,0.00253743439820226,0.039974635500987,1.02065392571472,"All contacts"
"6","sigma0_rd","sigma0_rd",1.52043768011384,1.13749248025625,4.30532317348043,0.418998240852591,0.0189089240785931,0.397433173059324,1.01476157691757,"All contacts"
"7","B_tri[1]","dur_cat_10",0.28764715739911,0.255864996687762,0.323347123860036,-1.2460206978732,0.000843123966191299,0.0581466636132908,0.999846227753021,"Extra-household contacts"
"8","B_tri[2]","dur_cat_10_59",0.596735762787383,0.530641193600493,0.669820524554544,-0.516280871965886,0.000752738600602605,0.0589300337666513,0.999939412555593,"Extra-household contacts"
"9","sigma0_loc","sigma0_loc",1.48476465712122,1.16656279337175,1.91062123022599,0.395256279642325,0.00554829581260653,0.122456350262287,1.00669380922086,"Extra-household contacts"
"10","sigma0_hh","sigma0_hh",1.66175288634073,1.2345287334546,2.40675605874015,0.50787300086642,0.0410357813325824,0.181234430094705,1.39368765424935,"Extra-household contacts"
"11","sigma0_part","sigma0_part",13.772956665663,11.7153665414454,16.3545115208927,2.62270700760504,0.00552480994692209,0.086393680451347,1.0233502984527,"Extra-household contacts"
"12","sigma0_rd","sigma0_rd",3.91829404555088,1.59525864686014,82.476140917412,1.36565636661714,0.0698868537406972,1.06667706357821,1.01466775021519,"Extra-household contacts"
