"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_tri[1]","freq_cat_1",0.0872537829713059,0.0817605179889919,0.0933208368842401,-2.43893436100221,0.000426890008160828,0.0339790751720778,0.999307045262658,"All contacts"
"2","B_tri[2]","freq_cat_1_3",0.204619729115659,0.192213359616923,0.217437860944313,-1.5866020023732,0.000384585395330598,0.0314497259850598,0.999285774480578,"All contacts"
"3","sigma0_loc","sigma0_loc",1.66307698271082,1.44137511935858,1.9678440453472,0.508669490607093,0.00167569244267266,0.0798906577450192,1.0009356693136,"All contacts"
"4","sigma0_hh","sigma0_hh",1.84668430091719,1.57553442437807,2.18537167925939,0.613391761278625,0.00816752307617296,0.0841725536583367,1.02788751858289,"All contacts"
"5","sigma0_part","sigma0_part",7.30364364660293,6.75273407075071,7.91252202338247,1.9883733533022,0.00174592964691471,0.0409293218293027,1.00517356948414,"All contacts"
"6","sigma0_rd","sigma0_rd",1.45805183806871,1.12070054315004,3.71796934405375,0.377101187185371,0.0444412037847589,0.456828806948552,1.04112058526082,"All contacts"
"7","B_tri[1]","freq_cat_1",0.23049235067918,0.199733745977236,0.264023608547068,-1.46753760286972,0.00128807835004912,0.0708360037945022,0.99996782526861,"Extra-household contacts"
"8","B_tri[2]","freq_cat_1_3",0.421051742795124,0.368966737278229,0.479464587246016,-0.864999548350412,0.0012492208561257,0.0682083622516867,1.00203432083139,"Extra-household contacts"
"9","sigma0_loc","sigma0_loc",1.41573797553039,1.13216774513728,1.78643813291254,0.347650932619104,0.00611680440727372,0.115868561241442,1.00584051450596,"Extra-household contacts"
"10","sigma0_hh","sigma0_hh",1.55480726858036,1.06808516222517,2.63770193796181,0.441351594914487,0.142028735944943,0.263362842921653,1.93947238477653,"Extra-household contacts"
"11","sigma0_part","sigma0_part",13.6571219817581,11.3585049404379,16.2897863314076,2.61426114246852,0.0143535575345661,0.0908836091576178,1.08086624402877,"Extra-household contacts"
"12","sigma0_rd","sigma0_rd",3.79087480354037,1.4981029328617,110.331338909843,1.33259681133584,0.055954097841482,1.10340603763505,1.00882862765863,"Extra-household contacts"
