"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_tri[1]","shared_freq",7.81581789078416,7.43273293856065,8.23873578441722,2.05614961492761,0.00034127791139481,0.0261684266835497,0.999544850690405,"All contacts"
"2","sigma0_loc","sigma0_loc",1.67672670663803,1.44923763245339,2.01275865571958,0.516843503930456,0.00198912905872608,0.0828379581215806,1.00034705264577,"All contacts"
"3","sigma0_hh","sigma0_hh",1.76584462377328,1.43292441163502,2.10531772773327,0.568629116302791,0.013315929966749,0.098077788899674,1.05837163307947,"All contacts"
"4","sigma0_part","sigma0_part",7.28127556618973,6.71913868689879,7.9058017472591,1.98530606199617,0.0025633643571018,0.0413371623027278,1.01143104473964,"All contacts"
"5","sigma0_rd","sigma0_rd",1.37707252610178,1.10725753369874,2.7845652258523,0.31995988800497,0.0114249103406524,0.289119329842589,1.00565302518046,"All contacts"
"6","B_tri[1]","shared_freq",3.58738054476618,3.23470019213863,3.98365116448367,1.27742228290521,0.000891671481155002,0.0535164951048867,1.0013237910816,"Extra-household contacts"
"7","sigma0_loc","sigma0_loc",1.39952057894675,1.08100041919227,1.81731722899314,0.336129734364543,0.0101604568039707,0.126504827625267,1.03079018275658,"Extra-household contacts"
"8","sigma0_hh","sigma0_hh",1.76663834526089,1.14679090296027,2.73790341783599,0.569078500777064,0.0923163283596343,0.238477631498212,1.76435635282913,"Extra-household contacts"
"9","sigma0_part","sigma0_part",12.5149417086897,10.5781080187958,15.0534104399722,2.52692326715733,0.0123605264484031,0.0878429179340431,1.07363802807272,"Extra-household contacts"
"10","sigma0_rd","sigma0_rd",3.68645472795714,1.48037421243617,261.280568816958,1.30466521787769,0.189457179106446,1.2685873259192,1.08508359394099,"Extra-household contacts"
