"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_tri[1]","occ_cat_student",1.70067147445746,1.42557596604897,2.02395409692511,0.531023158051119,0.00171587402778246,0.0898269537525732,1.00020984031364,"All contacts"
"B_tri[2]","occ_cat_other",3.55111907825779,3.32848044523573,3.78853806556033,1.2672627871238,0.000404460163861879,0.0325160325099287,0.999674857166281,"All contacts"
"sigma0_loc","sigma0_loc",1.89902753893546,1.62246947285908,2.32767851144961,0.641341933534085,0.00183319829029747,0.0934673229299336,1.00060812458963,"All contacts"
"sigma0_hh","sigma0_hh",1.75049481252203,1.5070933879993,2.01669398847374,0.559898497981763,0.00767135590786767,0.0780726783468595,1.0202526235444,"All contacts"
"sigma0_part","sigma0_part",6.53298948565782,6.05815691493641,7.07202523374971,1.87686464643712,0.00161916833725728,0.039402935197901,1.00158812865458,"All contacts"
"sigma0_rd","sigma0_rd",1.33273587806056,1.0921566856263,2.76021055982576,0.287233880574225,0.0106333066987841,0.297673590097238,1.00265639398162,"All contacts"
"B_tri[1]","occ_cat_student",10.3580774483918,6.89263658127808,15.2947047142856,2.33776664513071,0.00489492901464592,0.202841971343821,1.00220489777952,"Extra-household contacts"
"B_tri[2]","occ_cat_other",3.6072437936257,2.95969009271299,4.35979835548416,1.28294398866584,0.00181620004311671,0.101057328957869,0.999868503507368,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.75914523996674,1.42752815424016,2.25415061533354,0.564828031969672,0.00330879434430903,0.114587293688727,1.00247809534286,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.98617440372048,1.23387389070911,2.75043398527368,0.686210378343607,0.0571707317884599,0.197766745812289,1.58354396009978,"Extra-household contacts"
"sigma0_part","sigma0_part",11.0236076046523,9.32189335156216,13.1095364172983,2.4000391189945,0.0114118616456408,0.0859735054214533,1.0792127273211,"Extra-household contacts"
"sigma0_rd","sigma0_rd",2.85949020662204,1.39723863529291,29.9746086560966,1.05064335951059,0.0384985618967971,0.815133567834239,1.00711379680557,"Extra-household contacts"
