"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_tri[1]","HH_Num_Memb_1_3",0.612886507557562,0.562999848288517,0.668164964024064,-0.489575502833658,0.000734140338841633,0.0433653761725286,0.99970833929772,"All contacts"
"B_tri[2]","HH_Num_Memb_7_9",1.15457947763309,1.07078133438201,1.24599271895639,0.14373618904804,0.000640830714627986,0.0386513626871519,0.999985575275904,"All contacts"
"B_tri[3]","HH_Num_Memb_10",0.861653106930304,0.728288337579757,1.01175393541428,-0.148902517469484,0.00129439719798983,0.0834818944130069,0.999326915664217,"All contacts"
"sigma0_loc","sigma0_loc",1.77714425190349,1.53740002918252,2.13175245841606,0.575007723088565,0.00212979658670772,0.0822937398641595,1.00130117684378,"All contacts"
"sigma0_hh","sigma0_hh",1.57803119401751,1.18298765814446,1.91994689692287,0.456177990300232,0.0398754319762654,0.114383465921485,1.359187321671,"All contacts"
"sigma0_part","sigma0_part",7.54996490789581,6.96292266662981,8.20582868058215,2.02154291528931,0.00556089655539111,0.0424143700961731,1.05257640001146,"All contacts"
"sigma0_rd","sigma0_rd",1.41750892434693,1.10433806535501,3.73657952922801,0.348901052435526,0.029179689516285,0.466946342358489,1.01217400988609,"All contacts"
"B_tri[1]","HH_Num_Memb_1_3",1.2031771548229,0.982385648831186,1.48478358510274,0.184965687017637,0.00274962453682761,0.10750365538774,1.00221137717612,"Extra-household contacts"
"B_tri[2]","HH_Num_Memb_7_9",1.07560909406646,0.797474232914751,1.45299373719012,0.0728871002545353,0.00339079221725113,0.150882064426883,1.00097164018421,"Extra-household contacts"
"B_tri[3]","HH_Num_Memb_10",1.42433610573883,0.687349732247087,2.97248239212817,0.353705814450225,0.00936537954233437,0.374782553513585,1.00723987054108,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.61964363628525,1.28271527334202,2.08830475001645,0.482206147443971,0.00624859111535957,0.122806111650456,1.00801004812941,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.47824505292283,1.07637988567262,2.56508027306309,0.390855609136392,0.0712161371075129,0.237461181071352,1.59900737567075,"Extra-household contacts"
"sigma0_part","sigma0_part",14.663237369834,12.3102594501645,17.4480819358389,2.68534350221786,0.00999758577793632,0.0907710720979061,1.05821780113398,"Extra-household contacts"
"sigma0_rd","sigma0_rd",3.00238098175369,1.41116136678072,57.335316445694,1.09940563447065,0.0899080050781498,0.946698086683188,1.03162782229998,"Extra-household contacts"
