"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_tri[1]","loc_cat_school",0.0109851080752379,0.00962864273682074,0.0124722715880379,-4.51121473475628,0.00114503560058807,0.0664163084104008,0.999473531871317,"All contacts"
"2","B_tri[2]","loc_cat_work",0.0100896394662802,0.00944161259718829,0.0107773664997816,-4.59624617704092,0.000543790535191609,0.034157658612134,1.00066187903757,"All contacts"
"3","B_tri[3]","loc_cat_other",0.0756389598210176,0.0713289326831412,0.0800784100726267,-2.58178378699165,0.00045910785218817,0.0294809892620527,0.99955779677881,"All contacts"
"4","B_tri[4]","loc_cat_home",0.881153412210342,0.836982288742147,0.928348811345957,-0.126523534028094,0.000380164604885108,0.0263922789963418,0.999531031393847,"All contacts"
"5","sigma0_loc","sigma0_loc",1.71164493668956,1.48357782235803,2.05667526116566,0.537454859416381,0.00199010820247606,0.0829489492032709,1.00088400680342,"All contacts"
"6","sigma0_hh","sigma0_hh",1.55672308090308,1.2153579501199,1.89144300433325,0.442583022764861,0.0292103967542423,0.111581923018203,1.36541216561688,"All contacts"
"7","sigma0_part","sigma0_part",6.13718945931222,5.68069634947931,6.62770709213219,1.81436689457982,0.00511630671131398,0.0392752425595972,1.07953443198137,"All contacts"
"8","sigma0_rd","sigma0_rd",2.25691306457858,1.26186765996935,25.9796234393238,0.813997978962666,0.135258278369453,0.91516601043079,1.08247057821718,"All contacts"
"9","B_tri[1]","loc_cat_school",0.186219603237627,0.137891914029229,0.251579408920227,-1.68082863913499,0.00310280732899591,0.156594186968597,0.999849923073169,"Extra-household contacts"
"10","B_tri[2]","loc_cat_work",0.0823718086122285,0.0717821567333752,0.0944858460366038,-2.49651202909839,0.00115045508644122,0.0710356186384862,1.00135135566707,"Extra-household contacts"
"11","B_tri[3]","loc_cat_other",0.243430918551488,0.215262914815604,0.274962281945501,-1.41292207875781,0.000889981099863236,0.0633392197773345,0.999865115425139,"Extra-household contacts"
"12","sigma0_loc","sigma0_loc",1.61946312060006,1.31568452471167,2.04714556344861,0.482094687279843,0.00441424433243638,0.11335640125556,1.00330916636098,"Extra-household contacts"
"13","sigma0_hh","sigma0_hh",1.60192884621391,1.24756118742864,2.3274538729127,0.471208432062957,0.0512884599755523,0.166063172112252,1.38501327842826,"Extra-household contacts"
"14","sigma0_part","sigma0_part",11.7083984539653,9.98256279661429,13.7372240482891,2.46030640087484,0.00497754699125367,0.0803759514000128,1.02155779798782,"Extra-household contacts"
"15","sigma0_rd","sigma0_rd",4.38506786605271,1.62812014315416,126.001168911012,1.47820510256931,0.0587272183181576,1.13991573362858,1.00711327157507,"Extra-household contacts"
